Date,VOX,VCR,VDC,VDE,VFH,VHT,VIS,VGT,VNQ,VPU
2022-06-30,-0.09,-0.1124,-0.0326,-0.1796,-0.1115,-0.026,-0.0809,-0.0957,-0.0803,-0.0579
2022-07-31,0.0391,0.1837,0.0412,0.1165,0.0803,0.043,0.1099,0.1357,0.0931,0.0651
2022-08-31,-0.0347,-0.0422,-0.0156,0.032,-0.0194,-0.054,-0.0265,-0.0565,-0.0601,0.0029
2022-09-30,-0.125,-0.0867,-0.0896,-0.1049,-0.0847,-0.0339,-0.1039,-0.12,-0.138,-0.1192
2022-10-31,0.0278,0.0263,0.1013,0.2559,0.1285,0.0904,0.1346,0.0769,0.0463,0.0333
2022-11-30,0.0514,0.0241,0.0619,0.0131,0.0613,0.0466,0.0723,0.0537,0.0615,0.0704
2022-12-31,-0.0739,-0.1114,-0.0402,-0.0498,-0.0663,-0.0248,-0.0427,-0.082,-0.0636,-0.0169
2023-01-31,0.1528,0.158,0.0057,0.0415,0.0863,-0.0041,0.0603,0.0997,0.1196,-0.0083
2023-02-28,-0.0407,-0.0219,-0.0223,-0.0663,-0.0207,-0.046,-0.005,0.005,-0.0586,-0.0574
2023-03-31,0.0652,0.0209,0.0349,-0.0203,-0.1084,0.0158,-0.0069,0.0947,-0.0313,0.0369
2023-04-30,0.0265,-0.0046,0.0409,0.0334,0.0276,0.0339,-0.007,-0.0008,0.0132,0.0233
2023-05-31,0.0261,0.0104,-0.0545,-0.0947,-0.0395,-0.0402,-0.0235,0.0846,-0.0396,-0.0562
2023-06-30,0.0475,0.1183,0.0256,0.0663,0.0628,0.038,0.1163,0.0606,0.0445,0.006
2023-07-31,0.0621,0.036,0.0297,0.0925,0.0661,0.014,0.035,0.0302,0.0319,0.0322
2023-08-31,-0.0285,-0.0201,-0.0319,0.0195,-0.0305,-0.0117,-0.0205,-0.0218,-0.0338,-0.0634
2023-09-30,-0.0386,-0.0612,-0.0509,0.0169,-0.0381,-0.0382,-0.061,-0.0674,-0.0816,-0.0647
